"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"EEF1B2 /// SNORA41",-0.218112203112203,11.6954368932039,-2.22735118320247,0.0280745120764188,0.268358809084089,-3.58562150365195
"NDUFAF1",-0.302567567567568,9.02631067961165,-2.22700137841138,0.0280986311207163,0.268358809084089,-3.58630385361168
"STAG2",-0.182659022659023,10.2306472491909,-2.2266885360904,0.0281202169462849,0.268358809084089,-3.58691402060515
"MTMR9",-0.23582923832924,9.05733009708738,-2.2265542332969,0.0281294881595517,0.268358809084089,-3.5871759407946
"RASIP1",-0.330687960687961,6.82757281553398,-2.22639531620127,0.0281404620033233,0.268358809084089,-3.58748584594027
"MKKS",-0.298013923013922,9.52582524271845,-2.22607376722602,0.0281626776596483,0.268358809084089,-3.58811283950023
"CPEB1",-0.216240786240786,5.94504854368932,-2.22598348034907,0.0281689182907103,0.268358809084089,-3.5882888766748
"IPW /// LOC101930404 /// PWARSN /// SNORD107 /// SNORD115-13 /// SNORD115-26 /// SNORD115-7 /// SNORD116-22 /// SNORD116-28 /// SNORD116-4 /// SNRPN",-0.29605855855856,8.26781553398058,-2.22568363830437,0.0281896520547489,0.268358809084089,-3.58887344866383
"LIME1 /// ZGPAT",0.122686322686323,7.61922330097087,2.22564244690503,0.0281925014389782,0.268358809084089,-3.58895374986484
"CPSF6",-0.152260442260443,7.54121359223301,-2.22559126739668,0.0281960420939258,0.268358809084089,-3.58905352067174
"IL36A",0.122612612612613,6.7373786407767,2.22503417367669,0.0282346076043096,0.268459130171255,-3.59013940149559
"SLC17A4",0.229410319410319,9.6178640776699,2.22486525589663,0.0282463102555327,0.268459130171255,-3.59046860574354
"OR51E2",-0.15963144963145,5.77174757281553,-2.22454346411786,0.0282686157746692,0.268482320586545,-3.59109568416442
"NKX3-2",-0.408812448812449,6.11466019417476,-2.2240213596183,0.028304839050977,0.268637570065979,-3.59211293983759
"KAT2B",-0.395761670761671,7.4373786407767,-2.22344939010163,0.0283445684909829,0.268825854846059,-3.59322710432242
"CA3",-0.571113841113841,5.17514563106796,-2.22269099690221,0.0283973222126422,0.269137313957825,-3.59470401344242
